r,s,z,r_bits
6166924023189026966486134824893809010240921083594246189017,6081808537148163152973104573963479210230590189777555731893,185308342705228302696603701007474344218045356226475705037,192
210994054596008831886749019405517387904367297243160601661,2140394213116619113253605450851944074290227128614977215986,3716910386850438285602628041099832438802976697422177920518,188
2206087696644712737375503763219881829733580109433217610202,4882860434391654152627970823202500824362344542969925446316,2415543500953637359036777691314543503649708322621194347299,191
3936213042021833988068227023247541136447447693633737640784,2653313387612357299596140648889452210623563407607201695968,2285195773135616061035320110815777058028066728431197288249,192
3102040185636400641711524615222923830650740772849661940866,5716437411267483863772045464360101213469495240488939603107,4495634966002853732849765872291860065424235742824004542001,191
478756371915752348111981809423369825166703764221012243850,841840969926832902303333698100203371304662041028419838976,5654495657164325907009609686491965456391519667450328030850,189
2920517437706733612519298252253677218092599997808703076704,5245696987657687505587053869935115112071173761089470088854,6173274203727177622894014756876647231021546140088922812106,191
1464619156327329227224488994643677013897770164739483931798,3336359927729537181813144353371137654665227884377635805033,4367910875351539063754580565260995613516110077136436871913,190
2864546053904735132232920259686442345472855650408482688819,2921776245414270729692189369871797618080509459077461206385,5817247978279086067115095305018862537046953329951671857977,191
5131939760644993745128347110750080230138462670719605334041,5594226249816225708477098198042426481706410156976661741648,1518740122687766347482466004264154680670471396590688677900,192
1570603616884160296656916770780746819769939016835597360590,1165397531442385689775529129021271662404874267147071105687,2871903842661833950531420771720889030492148631848893929677,191
5092190167626396191592456921241990452609331675013963158438,28873753474516899793512902848414638662247846865525010777,2541477964175648256342399555200562272050996586330516619543,192
5481582166334360552540592341580316469411773214339576731947,2680411336946913750328924589742411976685238100338508595511,4527178825641043787411619282358291482727273493506184233619,192
3850607232422619170626642596410970886489847462617699430170,4390579208605318072358514081879654718201324868845977822082,23352780750917118990047183123206854826822263790053724989,192
1511534073893582011499406469978057204761797714342850745026,3264267966310664094415089295305353435441085328979431441627,3953916818718409651421937074560291882162097684371870885347,190
2902224052108996759903584084744884855825964920206150250782,4675506511893433055410933119060875118022158567808599133926,3809229497057038172123646726275121598660809315612979806894,191
1115057858739269437297779544633388986918813996890179452176,4137676360143294924995082042871769817171153243207268341180,4540577897826970041825548435410229281597269860172986705887,190
3656266742156402333687086364215342081190828719605352633286,3356645873558150656019836795956839481861755034144675294976,301573619137709385710353168928003074024334375175285276256,192
2471468162095788631422095718655970576868683561251124457694,4570296175132718146471403545666735218034699006527624066660,3341915578104808579144193594204788024018325699857177151420,191
1057784344876602472354449646014084317046372865471134766095,1018036335346271797695006606877500389045092587368042592251,5701966221544410923255030397857838770570047743095981578729,190
6264997732107899746320083902229424443415964389388642686163,4441659176558372233803705800456727665176772714422393108198,5536308183879555710818197885553300676369186466654572050336,192
2441431131083599741532255229297576867225804490313552618318,1919597999193988928958676618408423249265596755629418257601,3699505635468881754517192554468190865993389231497767322140,191
1803354112236191863445743223357891961673732830353948894102,1724204169729817796351979064137689338644884913815529135638,2354518196901815292437802600299124087499754761589590973022,191
1820502291555575519995107109527471963572741579034934442987,1944006511278288403636148931592403445966405840242424011169,2926895925771216731555172671452716816623090358993551430278,191
5513185344160398107546842563920194784724894089937395208930,3442630605096285445797454548068743368055445188645320231216,2662905279851887027412802631755673580222824248254036032783,192
2859889278422027452858630302851028980507851850662761968492,1976001469655349979936297407430802607712223200606444387381,4215262641641977519894662055810010815398002245368129074232,191
2229821692793631180000398982889575063450986974202574595867,453138603733347211793271936263173055476611786778445748264,207011435916632589993641511581591151159661995212117874518,191
2657729969791031475788165264572100151709689213084505393876,749278505061957082095926295868082688294247115617514732046,3165408653242200752442399835987696824843090909304329251215,191
